model_run,time,area
EC-Earth3-Veg_ssp119,2023,136091195.0697921
EC-Earth3-Veg_ssp119,2024,135090163.32740656
EC-Earth3-Veg_ssp119,2025,131346220.48246373
EC-Earth3-Veg_ssp119,2026,129752307.0318716
EC-Earth3-Veg_ssp119,2027,127763374.20202163
EC-Earth3-Veg_ssp119,2028,122328952.3336697
EC-Earth3-Veg_ssp119,2029,119126122.8372982
EC-Earth3-Veg_ssp119,2030,114233291.64024444
EC-Earth3-Veg_ssp119,2031,112462794.67926446
EC-Earth3-Veg_ssp119,2032,109076592.19604515
EC-Earth3-Veg_ssp119,2033,106399914.82721916
EC-Earth3-Veg_ssp119,2034,103039860.11489224
EC-Earth3-Veg_ssp119,2035,96873835.0063617
EC-Earth3-Veg_ssp119,2036,94749229.01242538
EC-Earth3-Veg_ssp119,2037,91599630.78016128
EC-Earth3-Veg_ssp119,2038,89746289.60067749
EC-Earth3-Veg_ssp119,2039,88022440.39759503
EC-Earth3-Veg_ssp119,2040,86744299.24962126
EC-Earth3-Veg_ssp119,2041,85173470.26420926
EC-Earth3-Veg_ssp119,2042,84429141.48536825
EC-Earth3-Veg_ssp119,2043,81637425.18402225
EC-Earth3-Veg_ssp119,2044,78757362.529949
EC-Earth3-Veg_ssp119,2045,77303788.90080701
EC-Earth3-Veg_ssp119,2046,73419009.55357067
EC-Earth3-Veg_ssp119,2047,71324132.89172399
EC-Earth3-Veg_ssp119,2048,69129292.21150397
EC-Earth3-Veg_ssp119,2049,67323630.43011345
EC-Earth3-Veg_ssp119,2050,66776325.36885652
EC-Earth3-Veg_ssp119,2051,65533574.46915957
EC-Earth3-Veg_ssp119,2052,64602547.562270835
EC-Earth3-Veg_ssp119,2053,62905568.57879661
EC-Earth3-Veg_ssp119,2054,61975499.9419063
EC-Earth3-Veg_ssp119,2055,60391707.430122085
EC-Earth3-Veg_ssp119,2056,58124568.60152265
EC-Earth3-Veg_ssp119,2057,56941137.29265321
EC-Earth3-Veg_ssp119,2058,55810025.41991939
EC-Earth3-Veg_ssp119,2059,53145830.584440574
EC-Earth3-Veg_ssp119,2060,49674843.630390555
EC-Earth3-Veg_ssp119,2061,46398942.45519876
EC-Earth3-Veg_ssp119,2062,45021149.6969978
EC-Earth3-Veg_ssp119,2063,43742100.25628435
EC-Earth3-Veg_ssp119,2064,41334652.501715675
EC-Earth3-Veg_ssp119,2065,40482598.57827374
EC-Earth3-Veg_ssp119,2066,40132438.95978883
EC-Earth3-Veg_ssp119,2067,37639641.25966691
EC-Earth3-Veg_ssp119,2068,37279061.022419475
EC-Earth3-Veg_ssp119,2069,36796130.51966068
EC-Earth3-Veg_ssp119,2070,35403956.47551086
EC-Earth3-Veg_ssp119,2071,34405968.498325735
EC-Earth3-Veg_ssp119,2072,32747203.900989983
EC-Earth3-Veg_ssp119,2073,32606499.260087796
EC-Earth3-Veg_ssp119,2074,31821115.848854914
EC-Earth3-Veg_ssp119,2075,31483847.787798446
EC-Earth3-Veg_ssp119,2076,31351597.062550582
EC-Earth3-Veg_ssp119,2077,30792360.065173905
EC-Earth3-Veg_ssp119,2078,30623137.010327347
EC-Earth3-Veg_ssp119,2079,29474009.244009353
EC-Earth3-Veg_ssp119,2080,29421783.839867327
EC-Earth3-Veg_ssp119,2081,28584021.75902237
EC-Earth3-Veg_ssp119,2082,26462638.892759636
EC-Earth3-Veg_ssp119,2083,26455635.91227273
EC-Earth3-Veg_ssp119,2084,26454347.337358434
EC-Earth3-Veg_ssp119,2085,26452190.610067457
EC-Earth3-Veg_ssp119,2086,26042652.41155756
EC-Earth3-Veg_ssp119,2087,26031269.55050657
EC-Earth3-Veg_ssp119,2088,26007606.46078456
EC-Earth3-Veg_ssp119,2089,25330978.80808273
EC-Earth3-Veg_ssp119,2090,25174605.37956069
EC-Earth3-Veg_ssp119,2091,25161671.12727889
EC-Earth3-Veg_ssp119,2092,25159831.29103663
EC-Earth3-Veg_ssp119,2093,25015015.174268126
EC-Earth3-Veg_ssp119,2094,24987390.433420323
EC-Earth3-Veg_ssp119,2095,24829735.33386607
EC-Earth3-Veg_ssp119,2096,24610879.87236481
EC-Earth3-Veg_ssp119,2097,24408672.384859476
EC-Earth3-Veg_ssp119,2098,23885189.789102644
EC-Earth3-Veg_ssp119,2099,23664258.861620184
EC-Earth3-Veg_ssp119,2100,23618671.02243388
GFDL-ESM4_ssp119,2023,136091195.0697921
GFDL-ESM4_ssp119,2024,133591467.63831715
GFDL-ESM4_ssp119,2025,132118340.2246799
GFDL-ESM4_ssp119,2026,130389028.44345151
GFDL-ESM4_ssp119,2027,128114227.54969576
GFDL-ESM4_ssp119,2028,126787965.07890025
GFDL-ESM4_ssp119,2029,123946026.33294772
GFDL-ESM4_ssp119,2030,119403490.53732419
GFDL-ESM4_ssp119,2031,116650467.6013952
GFDL-ESM4_ssp119,2032,111619053.035052
GFDL-ESM4_ssp119,2033,106544346.06020659
GFDL-ESM4_ssp119,2034,103241834.96332033
GFDL-ESM4_ssp119,2035,100245498.8681604
GFDL-ESM4_ssp119,2036,97735667.13969181
GFDL-ESM4_ssp119,2037,95717686.96884273
GFDL-ESM4_ssp119,2038,94428586.66795729
GFDL-ESM4_ssp119,2039,91802570.42799231
GFDL-ESM4_ssp119,2040,88719973.24682875
GFDL-ESM4_ssp119,2041,86596808.76331663
GFDL-ESM4_ssp119,2042,85044445.32508537
GFDL-ESM4_ssp119,2043,82253319.03854214
GFDL-ESM4_ssp119,2044,80174419.99955437
GFDL-ESM4_ssp119,2045,76294283.91145575
GFDL-ESM4_ssp119,2046,74395208.49079323
GFDL-ESM4_ssp119,2047,72452126.49111211
GFDL-ESM4_ssp119,2048,70847697.71810919
GFDL-ESM4_ssp119,2049,69793677.13206346
GFDL-ESM4_ssp119,2050,69149621.20270333
GFDL-ESM4_ssp119,2051,67577481.31324427
GFDL-ESM4_ssp119,2052,66717529.91481964
GFDL-ESM4_ssp119,2053,64848222.783689044
GFDL-ESM4_ssp119,2054,63553749.04087127
GFDL-ESM4_ssp119,2055,63127747.567692466
GFDL-ESM4_ssp119,2056,62053166.71420018
GFDL-ESM4_ssp119,2057,60440159.20869
GFDL-ESM4_ssp119,2058,59708984.69326309
GFDL-ESM4_ssp119,2059,59503190.81469213
GFDL-ESM4_ssp119,2060,56276307.832081944
GFDL-ESM4_ssp119,2061,55152457.51496733
GFDL-ESM4_ssp119,2062,53025869.94025749
GFDL-ESM4_ssp119,2063,51793975.2559702
GFDL-ESM4_ssp119,2064,51417468.20330118
GFDL-ESM4_ssp119,2065,50536899.958821476
GFDL-ESM4_ssp119,2066,49520843.63493272
GFDL-ESM4_ssp119,2067,48839434.01814621
GFDL-ESM4_ssp119,2068,47984141.10806606
GFDL-ESM4_ssp119,2069,47324218.08419165
GFDL-ESM4_ssp119,2070,46909245.69110566
GFDL-ESM4_ssp119,2071,45247849.695335895
GFDL-ESM4_ssp119,2072,44696658.67495687
GFDL-ESM4_ssp119,2073,44199937.150763966
GFDL-ESM4_ssp119,2074,43465232.45986549
GFDL-ESM4_ssp119,2075,43356649.10964512
GFDL-ESM4_ssp119,2076,42696021.78563193
GFDL-ESM4_ssp119,2077,41999007.76082441
GFDL-ESM4_ssp119,2078,41884838.003053434
GFDL-ESM4_ssp119,2079,41684432.21711173
GFDL-ESM4_ssp119,2080,41528728.71234183
GFDL-ESM4_ssp119,2081,41506158.630108535
GFDL-ESM4_ssp119,2082,41392717.54488517
GFDL-ESM4_ssp119,2083,40895681.74709825
GFDL-ESM4_ssp119,2084,40716706.019845456
GFDL-ESM4_ssp119,2085,40695075.694733106
GFDL-ESM4_ssp119,2086,40450616.62175369
GFDL-ESM4_ssp119,2087,40295973.77737961
GFDL-ESM4_ssp119,2088,40291567.6219267
GFDL-ESM4_ssp119,2089,40287985.48719286
GFDL-ESM4_ssp119,2090,38930741.81678919
GFDL-ESM4_ssp119,2091,38615662.35495724
GFDL-ESM4_ssp119,2092,38534149.0486858
GFDL-ESM4_ssp119,2093,38036275.56992859
GFDL-ESM4_ssp119,2094,38005371.40657813
GFDL-ESM4_ssp119,2095,37738381.22500414
GFDL-ESM4_ssp119,2096,37708870.03286242
GFDL-ESM4_ssp119,2097,37577121.29212837
GFDL-ESM4_ssp119,2098,37456339.546347745
GFDL-ESM4_ssp119,2099,37426657.788670056
GFDL-ESM4_ssp119,2100,37255050.05640185
MRI-ESM2-0_ssp119,2023,136091195.0697921
MRI-ESM2-0_ssp119,2024,131183456.84507443
MRI-ESM2-0_ssp119,2025,127218411.56000514
MRI-ESM2-0_ssp119,2026,119598287.5345402
MRI-ESM2-0_ssp119,2027,113123506.95259315
MRI-ESM2-0_ssp119,2028,105893980.2021644
MRI-ESM2-0_ssp119,2029,98809011.07834394
MRI-ESM2-0_ssp119,2030,92075704.65516827
MRI-ESM2-0_ssp119,2031,87535916.2402534
MRI-ESM2-0_ssp119,2032,83387769.00322755
MRI-ESM2-0_ssp119,2033,76901182.28522408
MRI-ESM2-0_ssp119,2034,70527144.42461948
MRI-ESM2-0_ssp119,2035,67044231.41335199
MRI-ESM2-0_ssp119,2036,61159658.10806821
MRI-ESM2-0_ssp119,2037,55701345.76075215
MRI-ESM2-0_ssp119,2038,54119782.045858644
MRI-ESM2-0_ssp119,2039,51612653.44370572
MRI-ESM2-0_ssp119,2040,48948685.55500856
MRI-ESM2-0_ssp119,2041,46187689.36978248
MRI-ESM2-0_ssp119,2042,42660548.35584194
MRI-ESM2-0_ssp119,2043,38907129.232579604
MRI-ESM2-0_ssp119,2044,36295409.82929669
MRI-ESM2-0_ssp119,2045,34657956.93365523
MRI-ESM2-0_ssp119,2046,28678742.875531312
MRI-ESM2-0_ssp119,2047,28089421.638678793
MRI-ESM2-0_ssp119,2048,25634351.792764053
MRI-ESM2-0_ssp119,2049,23121393.35240912
MRI-ESM2-0_ssp119,2050,22105302.597533017
MRI-ESM2-0_ssp119,2051,20129471.927324567
MRI-ESM2-0_ssp119,2052,19127633.384795696
MRI-ESM2-0_ssp119,2053,17010474.91075119
MRI-ESM2-0_ssp119,2054,16987122.813229494
MRI-ESM2-0_ssp119,2055,16174439.718806362
MRI-ESM2-0_ssp119,2056,14286749.132737182
MRI-ESM2-0_ssp119,2057,13236898.589844923
MRI-ESM2-0_ssp119,2058,12671901.859099798
MRI-ESM2-0_ssp119,2059,11676264.130578537
MRI-ESM2-0_ssp119,2060,11461925.004092986
MRI-ESM2-0_ssp119,2061,9145141.292630503
MRI-ESM2-0_ssp119,2062,9024620.362863233
MRI-ESM2-0_ssp119,2063,8983689.605750367
MRI-ESM2-0_ssp119,2064,7738850.525105488
MRI-ESM2-0_ssp119,2065,7232501.993029225
MRI-ESM2-0_ssp119,2066,6088870.9984921105
MRI-ESM2-0_ssp119,2067,5845197.774108332
MRI-ESM2-0_ssp119,2068,5619161.417266641
MRI-ESM2-0_ssp119,2069,4701900.514811366
MRI-ESM2-0_ssp119,2070,4643218.3254058985
MRI-ESM2-0_ssp119,2071,4623039.98516734
MRI-ESM2-0_ssp119,2072,4560001.185004382
MRI-ESM2-0_ssp119,2073,4559132.514124681
MRI-ESM2-0_ssp119,2074,4542896.426414472
MRI-ESM2-0_ssp119,2075,4452005.055862492
MRI-ESM2-0_ssp119,2076,4426152.259863198
MRI-ESM2-0_ssp119,2077,4412083.298746284
MRI-ESM2-0_ssp119,2078,4411453.448596825
MRI-ESM2-0_ssp119,2079,4288470.566159885
MRI-ESM2-0_ssp119,2080,4288248.668011811
MRI-ESM2-0_ssp119,2081,4277554.440726297
MRI-ESM2-0_ssp119,2082,4274959.019395984
MRI-ESM2-0_ssp119,2083,4272659.8801993355
MRI-ESM2-0_ssp119,2084,4252288.4448227845
MRI-ESM2-0_ssp119,2085,3832862.364618679
MRI-ESM2-0_ssp119,2086,3811944.5379987047
MRI-ESM2-0_ssp119,2087,3807991.0599897164
MRI-ESM2-0_ssp119,2088,3640233.607302069
MRI-ESM2-0_ssp119,2089,3632041.5416881074
